threshold,dice,iou
0.3,0.7949152588844299,0.6941991815200219
0.35,0.7960941745684698,0.6962311267852783
0.39999999999999997,0.7965908921681918,0.6974706833179181
0.44999999999999996,0.7966172099113464,0.697876540514139
0.49999999999999994,0.7960896033507127,0.6975352718279912
0.5499999999999999,0.7952610712784988,0.6967366337776184
0.5999999999999999,0.7935556677671579,0.6948138865140768
0.6499999999999999,0.7905551470243014,0.6911830718700702
0.7,0.786495580123021,0.6863162586322198
0.7499999999999999,0.779961884021759,0.6789475908646216
